conquering_cost,filename,total_scores,travelling_cost
6430.0,inputs/403.in,19450.0,13020.0
150.0,inputs/63.in,330.0,180.0
30.0,inputs/543.in,162.0,132.0
35.0,inputs/452.in,185.0,150.0
283.24854999999997,inputs/32.in,556.9569099999999,273.70835999999997
500037152.70142996,inputs/512.in,8074891049.67157,7574853896.9701395
26109649.6524,inputs/683.in,76995419.92680001,50885770.27440001
32508.0,inputs/239.in,81132.0,48624.0
170892.0,inputs/379.in,192011.468,21119.46799999999
1538.9471400000004,inputs/268.in,12131945698.433857,12131944159.486717
10273.0,inputs/328.in,28433.0,18160.0
1.0,inputs/338.in,1.0,0
40.0,inputs/278.in,472.0,432.0
738.0,inputs/369.in,1080.0,342.0
68946200.0,inputs/229.in,69593990.0,647790.0
145020.0,inputs/22.in,738036.000000004,593016.000000004
44.0,inputs/693.in,132.0,88.0
1730.0,inputs/502.in,5220.0,3490.0
57454.38099999999,inputs/442.in,176186.987,118732.60600000001
320.0,inputs/73.in,700.0,380.0
1377.0,inputs/553.in,3201.0,1824.0
1225.0,inputs/413.in,3985.0,2760.0
20.0,inputs/631.in,156.0,136.0
3029.0,inputs/80.in,12769.0,9740.0
48036.0,inputs/660.in,78130.0,30094.0
57.0,inputs/720.in,199.0,142.0
82918156672.88489,inputs/427.in,228392150208.01614,145473993535.13126
10.1,inputs/47.in,610.5,600.4
3475.0,inputs/567.in,9574.050599999999,6099.050599999999
7.0,inputs/476.in,33.0,26.0
185.0,inputs/16.in,619.0,434.0
4336.0,inputs/536.in,86218.0,81882.0
288.0,inputs/714.in,741636614.0,741636326.0
402190.0,inputs/485.in,1207692.0,805502.0
1052.0,inputs/654.in,2310.0,1258.0
43455570732.868744,inputs/605.in,141352335614.51526,97896764881.64651
43.0,inputs/594.in,243.0,200.0
317.0144,inputs/164.in,2043.565200000001,1726.550800000001
49.0,inputs/135.in,177.0,128.0
58.0,inputs/317.in,190.0,132.0
25.0,inputs/257.in,29.88,4.88
280.0,inputs/346.in,10161.884020000007,9881.884020000007
232.1,inputs/197.in,2000000644.1,2000000412.0
164.0,inputs/206.in,594.0,430.0
1.0,inputs/101.in,325.0,324.0
290.0,inputs/290.in,920.0,630.0
151.0,inputs/150.in,399.0,248.0
550.0,inputs/381.in,5356.0,4806.0
117770217015.836,inputs/232.in,343369707740.4332,225599490724.5972
1167842.0,inputs/372.in,102065304.93699998,100897462.93699998
1061.0,inputs/263.in,4721.0,3660.0
84631.0,inputs/323.in,85051.0,420.0
550.0,inputs/408.in,1534.0,984.0
16.0,inputs/548.in,106.0,90.0
19.0,inputs/68.in,69.0,50.0
2300.735,inputs/459.in,5385.1810000000005,3084.4460000000004
197.0,inputs/519.in,454.0,257.0
12435.0,inputs/688.in,19121.0,6686.0
477.0,inputs/39.in,496.2,19.200000000000003
100.0,inputs/4.in,418.0,318.0
18.0,inputs/509.in,216.0,198.0
2942.0,inputs/29.in,55694.0,52752.0
721.0,inputs/449.in,2151.0,1430.0
122.0,inputs/558.in,518.6,396.6
49305.0,inputs/78.in,130391.0,81086.0
6652.0,inputs/418.in,24714.0,18062.0
5003895.71,inputs/333.in,41227436.51000001,36223540.80000001
134.5,inputs/273.in,252.5,118.0
141.0,inputs/362.in,935.0,794.0
134.0,inputs/222.in,448.0,314.0
83334529842.0,inputs/391.in,186897395350.0,103562865508.0
148.0,inputs/140.in,438.0,290.0
114638654469.81992,inputs/280.in,343915938789.45953,229277284319.63962
632.0,inputs/111.in,2164.0,1532.0
4.0,inputs/216.in,12.0,8.0
5754.0,inputs/187.in,14994.0,9240.0
150.0,inputs/356.in,790.0,640.0
24355.0,inputs/247.in,89360.32999999999,65005.329999999994
